,title,num_pages,start_page,end_page,year,num_authors,authors,extended paper,journal,conf,intro,related,body,exp,con
15,Event Recommendation using Social Media.,5,2106,2110,2019,1,['Sreekanth Madisetty'],10.1109/ICDE.2019.00249,,,,,,,
16,Automated Documentation of End-to-End Experiments in Data Science.,5,2076,2080,2019,1,['Sergey Redyuk'],10.1109/ICDE.2019.00243,,,,,,,
17,Differential Data Quality Verification on Partitioned Data.,6,1940,1945,2019,8,"['Sebastian Schelter', 'Stefan Grafberger', 'Philipp Schmidt', 'Tammo Rukat', 'Mario Kießling', 'Andrey Taptunov', 'Felix Bießmann', 'Dustin Lange']",Unit Testing Data with Deequ,,SIGMOD,1,0.25,2.5,1.5,0.25
18,Don&apos;t Fear the REAPER - A Framework for Materializing and Reusing Deep-Learning Models.,5,2091,2095,2019,1,['Melanie B. Sigl'],10.1109/ICDE.2019.00246,,,,,,,
19,Knowledge Representation for Emotion Intelligence.,5,2096,2100,2019,1,['Shuo Wang'],10.1109/ICDE.2019.00247,,,,,,,
20,Learning Effective Embeddings From Crowdsourced Labels - An Educational Case Study.,6,1922,1927,2019,6,"['Guowei Xu', 'Wenbiao Ding', 'Jiliang Tang', 'Songfan Yang', 'Gale Yan Huang', 'Zitao Liu']",Representation Learning from Limited Educational Data with Crowdsourced Labels,TKDE,,1,0.5,1.5,2.5,0.25
21,Towards Explaining the Effects of Data Preprocessing on Machine Learning.,5,2086,2090,2019,1,['Carlos Vladimiro Gonzalez Zelaya'],10.1109/ICDE.2019.00245,,,,,,,
22,Towards Not Re-Inventing the Wheel - Managing Data Management Tools.,5,1709,1713,2018,1,['Kathryn Dahlgren'],10.1109/ICDE.2018.00220,,,,,,,
23,Traffic-Aware Routing in Road Networks.,6,1543,1548,2018,3,"['Daniel Delling', 'Dennis Schieferdecker', 'Christian Sommer 0001']",,,,0.5,,3,2,0.25
24,Designing an Adaptive VM That Combines Vectorized and JIT Execution on Heterogeneous Hardware.,5,1684,1688,2018,1,['Tim Gubner'],10.1109/ICDE.2018.00215,,,,,,,
25,Efficiently Processing Temporal Queries on Hyperledger Fabric.,6,1489,1494,2018,6,"['Himanshu Gupta', 'Sandeep Hans', 'Kushagra Aggarwal', 'Sameep Mehta', 'Bapi Chatterjee', 'Praveen Jayachandran']",,,,,,,,
26,ZIP-Code Classification Using Spatial and Crowdsourced Data.,5,1694,1698,2018,1,['Tunaggina Subrina Khan'],10.1109/ICDE.2018.00217,,,,,,,
27,Node Selection in Large Networks.,5,1689,1693,2018,1,['Alvis Logins'],10.1109/ICDE.2018.00216,,,,,,,
28,My Top Ten Fears about the DBMS Field.,5,24,28,2018,1,['Michael Stonebraker'],10.1109/ICDE.2018.00012,,,,,,,
29,Auditing DBMSes through Forensic Analysis.,5,1704,1708,2018,1,['James Wagner'],10.1109/ICDE.2018.00219,,,,,,,
30,Online E-Commerce Fraud - A Large-Scale Detection and Analysis.,6,1435,1440,2018,7,"['Haiqin Weng', 'Zhao Li', 'Shouling Ji', 'Chen Chu', 'Haifeng Lu', 'Tianyu Du', 'Qinming He']",Detecting and Characterizing Web Bot Traffic in a Large E-commerce Marketplace,,ESORICS,1.5,0.25,2.5,1.25,0.25
31,Complex Event Processing under Constrained Resources by State-Based Load Shedding.,5,1699,1703,2018,1,['Bo Zhao 0019'],10.1109/ICDE.2018.00218,,,,,,,
32,Internet of Metaproteomics.,5,1714,1718,2018,1,['Roman Zoun'],10.1109/ICDE.2018.00221,,,,,,,
33,Multiple-Query Optimization of Regular Path Queries.,5,1426,1430,2017,1,['Zahid Abul-Basher'],10.1109/ICDE.2017.205,,,,,,,
34,Ontology-Based Approach for Academic Evaluation System.,6,1569,1574,2017,3,"['Siti Aminah', 'Iis Afriyanti', 'Adila Krisnadhi']",,,,,,,,
35,Improving Predictable Shared-Disk Clusters Performance for Database Clouds.,6,237,242,2017,8,"['Anjan Kumar Amirishetty', 'Yunrui Li', 'Tolga Yurek', 'Mahesh Girkar', 'Wilson Chan', 'Graham Ivey', 'Vsevolod Panteleenko', 'Ken Wong']",,,,,,,,
36,Judgment Analysis Based on Crowdsourced Opinions.,5,1439,1443,2017,3,"['Sujoy Chatterjee', 'Anirban Mukhopadhyay 0001', 'Malay Bhattacharyya 0001']",10.1109/ICDE.2017.207,,,,,,,
37,Effects of User Interactions on Online Social Recommender Systems.,5,1444,1448,2017,1,['Anahita Davoudi'],10.1109/ICDE.2017.208,,,,,,,
38,RELNA - Ranking Attributes in Social Networks to Detect Overlapping Communities Efficiently.,5,1431,1435,2017,1,['Bella Martínez-Seis'],10.1109/ICDE.2017.206,,,,,,,
39,Towards Scalable Non-Monotonic Stream Reasoning via Input Dependency Analysis.,6,1553,1558,2017,3,"['Thu-Le Pham', 'Alessandra Mileo', 'Muhammad Intizar Ali']",,,,,,,,
40,Enabling Real-Time Drug Abuse Detection in Tweets.,5,1510,1514,2017,4,"['NhatHai Phan', 'Soon Ae Chun', 'Manasi Bhole', 'James Geller']",10.1109/ICDE.2017.221,,,,,,,
41,Modeling Scalability of Distributed Machine Learning.,6,1249,1254,2017,3,"['Alexander Ulanov', 'Andrey Simanovsky', 'Manish Marwah']",Sandpiper: Scaling probabilistic inferencing to large scale graphical models,,Bigdata,,,,,
42,Predictive Provisioning - Efficiently Anticipating Usage in Azure SQL Database.,6,1111,1116,2017,8,"['Lalitha Viswanathan', 'Bikash Chandra', 'Willis Lang', 'Karthik Ramachandra 0002', 'Jignesh M. Patel', 'Ajay Kalhan', 'David J. DeWitt', 'Alan Halverson']",Survivability of Cloud Databases - Factors and Prediction,,SIGMOD,,,,,
