,relevant,title,authors,url,venue,year,keywords,abstract
451,,Position-Aware Deep Character-Level CTR Prediction for Sponsored Search.,"Xiao Bai 0002,Reza Abasi,Bora Edizel,Amin Mantrach",https://doi.org/10.1109/TKDE.2019.2941881,TKDE,2021,"Predictive models,Search engines,Deep learning,Context modeling,Advertising,Engines,Data models","Predicting the click-through rate of an advertisement is a critical component of online advertising platforms. In sponsored search, the click-through rate estimates the probability that a displayed advertisement is clicked by a user after she submits a query to the search engine. Commercial search engines typically rely on machine learning models trained with a large number of features to make such predictions. This inevitably requires a lot of engineering efforts to define, compute, and select the appropriate features. In this paper, we propose two novel approaches (one working at character level and the other working at word level) that use deep convolutional neural networks to predict the click-through rate of a query-advertisement pair. Specifically, the proposed architectures consider as input only the textual content appearing in a query-advertisement pair and the page position at which the advertisement appears on the search result page of the query, and produce as output a click-through rate prediction. By comparing the character-level model with the word-level model, we show that language representation can be learnt from scratch at character level when trained on enough data. Through extensive experiments using billions of query-advertisement pairs of a popular commercial search engine, we demonstrate that both approaches significantly outperform a baseline model built on well-selected text features and a state-of-the-art word2vec-based approach. We also show the importance of the position feature in the proposed approaches in improving the prediction accuracy. When combining the predictions of the deep models introduced in this study with the prediction of the model in production of the same commercial search engine, we significantly improve the accuracy and the calibration of the click-through rate prediction of the production system. We also show the potential of leveraging the CTR prediction of the proposed deep learning models for query-ad relevance modeling and query-ad matching tasks in sponsored search."
452,,ConcurDB - Concurrent Query Authentication for Outsourced Databases.,"Sumeet Bajaj,Anrin Chakraborti,Radu Sion",https://doi.org/10.1109/TKDE.2019.2943557,TKDE,2021,"Authentication,Databases,Concurrent computing,Cryptography,Gold,Protocols,Data structures","Clients of outsourced databases need Query Authentication (QA) guaranteeing the integrity and authenticity of query results returned by potentially compromised providers. Prior work provides QA assurances for a limited class of queries by deploying several software-based cryptographic constructs. The constructs are often designed assuming read-only or infrequently updated databases. For dynamic datasets, the data owner is required to perform all updates on behalf of clients. Hence, for concurrent updates by multiple clients, such as for OLTP workloads, existing QA solutions are inefficient. We present ConcurDB, a concurrent QA scheme that enables simultaneous updates by multiple clients. To realize concurrent QA, we have designed several new mechanisms. First, we identify and use an important relationship between QA and memory checking to decouple query execution and verification. We allow clients to execute transactions concurrently and perform verifications in parallel using an offline memory checking based protocol. Then, to extend QA to a multi-client scenario, we design new protocols that enable clients to securely exchange a small set of authentication data even when using the untrusted provider as a communication hub. Finally, we overcome provider-side replay attacks. Using ConcurDB, we provide and evaluate concurrent QA for the full TPC-C benchmark. For updates, ConcurDB shows a 4x performance increase over existing solutions."
453,,User-Driven Geolocated Event Detection in Social Media.,"Anes Bendimerad,Marc Plantevit,Céline Robardet,Sihem Amer-Yahia",https://doi.org/10.1109/TKDE.2019.2931340,TKDE,2021,"Geology,Event detection,Data mining,Twitter,Urban areas,Time series analysis","Event detection is one of the most important research topics in social media analysis. Despite this interest, few researchers have addressed the problem of identifying geolocated events in an unsupervised way, and none includes user interests during the process. In this paper, we tackle the problem of local event detection from social media data. We present a method to automatically identify events by evaluating the burstiness of hashtags in a geographical area and a time interval, and at the same time integrating user feedback. We devise two algorithms to discover user-driven events. The first one relies on an exact enumeration process, while the other directly samples the space of events. In our empirical study, we provide evidence that geolocated events cannot be detected by non location-aware methods. We also show that our methods (i) outperform by a factor of two to several orders of magnitude state-of-the-art methods designed to discover geolocated events, (ii) are more robust to noise, and (iii) produce high quality events with respect to user interests."
454,,Node Embedding with Adaptive Similarities for Scalable Learning over Graphs.,"Dimitris Berberidis,Georgios B. Giannakis",https://doi.org/10.1109/TKDE.2019.2931542,TKDE,2021,"Measurement,Task analysis,Symmetric matrices,Numerical models,Scalability,Feature extraction,Sparse matrices","Node embedding is the task of extracting informative and descriptive features over the nodes of a graph. The importance of node embedding for graph analytics as well as learning tasks, such as node classification, link prediction, and community detection, has led to a growing interest and a number of recent advances. Nonetheless, node embedding faces several major challenges. Practical embedding methods have to deal with real-world graphs that arise from different domains, with inherently diverse underlying processes as well as similarity structures and metrics. On the other hand, similar to principal component analysis in feature vector spaces, node embedding is an inherently unsupervised task. Lacking metadata for validation, practical schemes motivate standardization and limited use of tunable hyperparameters. Finally, node embedding methods must be scalable in order to cope with large-scale real-world graphs of networks with ever-increasing size. The present work puts forth an adaptive node embedding framework that adjusts the embedding process to a given underlying graph, in a fully unsupervised manner. This is achieved by leveraging the notion of a tunable node similarity matrix that assigns weights on multihop paths. The design of multihop similarities ensures that the resultant embeddings also inherit interpretable spectral properties. The proposed model is thoroughly investigated, interpreted, and numerically evaluated using stochastic block models. Moreover, an unsupervised algorithm is developed for training the model parameters effieciently. Extensive node classification, link prediction, and clustering experiments are carried out on many real-world graphs from various domains, along with comparisons with state-of-the-art scalable and unsupervised node embedding alternatives. The proposed method enjoys superior performance in many cases, while also yielding interpretable information on the underlying graph structure."
455,,Event Detection on Microposts - A Comparison of Four Approaches.,"Akansha Bhardwaj,Albert Blarer,Philippe Cudré-Mauroux,Vincent Lenders,Boris Motik,Axel Tanner,Alberto Tonon",https://doi.org/10.1109/TKDE.2019.2944815,TKDE,2021,"Event detection,Twitter,Semantics,Training,Terrorism,Feature extraction,Time series analysis","Microblogging services such as Twitter are important, up-to-date, and live sources of information on a multitude of topics and events. An increasing number of systems use such services to detect and analyze events in real-time as they unfold. In this context, we recently proposed ArmaTweet-a system developed in collaboration among armasuisse and the Universities of Oxford and Fribourg to support semantic event detection on Twitter streams. Our experiments have shown that ArmaTweet is successful at detecting many complex events that cannot be detected by simple keyword-based search methods alone. Building up on this work, we explore in this paper several approaches for event detection on microposts. In particular, we describe and compare four different approaches based on keyword search (Plain-Seed-Query), information retrieval (Temporal Query Expansion), Word2Vec word embeddings (Embedding), and semantic retrieval (ArmaTweet). We provide an extensive empirical evaluation of these techniques using a benchmark dataset of about 200 million tweets on six event categories that we collected. While the performance of individual systems varies depending on the event category, our results show that ArmaTweet outperforms the other approaches on five out of six categories, and that a combined approach offers highest recall without adversely affecting precision of event detection."
456,,A Revisit of Hashing Algorithms for Approximate Nearest Neighbor Search.,Deng Cai 0001,https://doi.org/10.1109/TKDE.2019.2953897,TKDE,2021,"Machine learning algorithms,Machine learning,Nearest neighbor methods,Approximation algorithms,Search problems,Reproducibility of results,Indexes","Approximate Nearest Neighbor Search (ANNS) is a fundamental problem in many areas of machine learning and data mining. During the past decade, numerous hashing algorithms are proposed to solve this problem. Every proposed algorithm claims to outperform Locality Sensitive Hashing (LSH), which is the most popular hashing method. However, the evaluation of these hashing article was not thorough enough, and the claim should be re-examined. If implemented correctly, almost all the hashing methods will have their performance improved as the code length increases. However, many existing hashing article only report the performance with the code length shorter than 128. In this article, we carefully revisit the problem of search-with-a-hash-index and analyze the pros and cons of two popular hash index search procedures. Then we proposed a simple but effective novel hash index search approach and made a thorough comparison of eleven popular hashing algorithms. Surprisingly, the random-projection-based Locality Sensitive Hashing ranked the first, which is in contradiction to the claims in all the other 10 hashing article. Despite the extreme simplicity of random-projection-based LSH, our results show that the capability of this algorithm has been far underestimated. For the sake of reproducibility, all the codes used in the article are released on GitHub, which can be used as a testing platform for a fair comparison between various hashing algorithms."
457,,BS-SC - An Unsupervised Approach for Detecting Shilling Profiles in Collaborative Recommender Systems.,"Hongyun Cai 0002,Fuzhi Zhang",https://doi.org/10.1109/TKDE.2019.2946247,TKDE,2021,"Feature extraction,Recommender systems,Collaboration,Training,Correlation,Clustering algorithms,Detection algorithms","Collaborative recommender systems are vulnerable to shilling attacks. To address this issue, many methods including supervised and unsupervised have been proposed. However, supervised detection methods require training classifiers and they only apply to detect known types of attacks. The existing unsupervised detection methods need to know the prior knowledge of attacks, otherwise they suffer from low detection precision. In this paper, we present BS-SC, an unsupervised approach for detecting shilling profiles, which does not need to know the attack size or to label the candidate spammers. BS-SC starts from an in-depth analysis of user behaviors and uses two key mechanisms (i.e., behavior features extraction and behavior similarity matrix clustering) to distinguish shilling profiles from genuine ones. The behavior features reflect the behavior difference between genuine and shilling profiles, and the behavior similarity matrix clustering is to cluster shilling profiles based on their highly similar behaviors. Experimental results on the MovieLens and the sampled Amazon review datasets indicate that BS-SC outperforms the baseline unsupervised approaches, even when the prior knowledge is given for them."
458,,Social-Enhanced Attentive Group Recommendation.,"Da Cao,Xiangnan He 0001,Lianhai Miao,Guangyi Xiao,Hao Chen 0051,Jia Xu 0005",https://doi.org/10.1109/TKDE.2019.2936475,TKDE,2021,"Recommender systems,Neural networks,Aggregates,Collaboration,Deep learning,Social networking (online),Task analysis","With the proliferation of social networks, group activities have become an essential ingredient of our daily life. A growing number of users share their group activities online and invite their friends to join in. This imposes the need of an in-depth study on the group recommendation task, i.e., recommending items to a group of users. Despite its value and significance, group recommendation remains an unsolved problem due to 1) the weights of group members are crucial to the recommendation performance but are rarely learnt from data; 2) social followee information is beneficial to understand users' preferences but is rarely considered; and 3) user-item interactions are helpful to reinforce the performance of group recommendation but are seldom investigated. Toward this end, we devise neural network-based solutions by utilizing the recent developments of attention network and neural collaborative filtering (NCF). First of all, we adopt an attention network to form the representation of a group by aggregating the group members' embeddings, which allows the attention weights of group members to be dynamically learnt from data. Second, the social followee information is incorporated via another attention network to enhance the representation of individual user, which is helpful to capture users' personal preferences. Third, considering that many online group systems also have abundant interactions of individual users on items, we further integrate the modeling of user-item interactions into our method. Through this way, the recommendation for groups and users can be mutually reinforced. Extensive experiments on the scope of both macro-level performance comparison and micro-level analyses justify the effectiveness and rationality of our proposed approaches."
459,,Deep Multi-View Learning to Rank.,"Guanqun Cao,Alexandros Iosifidis,Moncef Gabbouj,Vijay Raghavan 0001,Raju Gottumukkala",https://doi.org/10.1109/TKDE.2019.2942590,TKDE,2021,"Correlation,Transforms,Neural networks,Training,Optimization,Data models,Data mining","We study the problem of learning to rank from multiple information sources. Though multi-view learning and learning to rank have been studied extensively leading to a wide range of applications, multi-view learning to rank as a synergy of both topics has received little attention. The aim of the paper is to propose a composite ranking method while keeping a close correlation with the individual rankings simultaneously. We present a generic framework for multi-view subspace learning to rank (MvSL2R), and two novel solutions are introduced under the framework. The first solution captures information of feature mappings from within each view as well as across views using autoencoder-like networks. Novel feature embedding methods are formulated in the optimization of multi-view unsupervised and discriminant autoencoders. Moreover, we introduce an end-to-end solution to learning towards both the joint ranking objective and the individual rankings. The proposed solution enhances the joint ranking with minimum view-specific ranking loss, so that it can achieve the maximum global view agreements in a single optimization process. The proposed method is evaluated on three different ranking problems, i.e., university ranking, multi-view lingual text ranking, and image data ranking, providing superior results compared to related methods."
460,1,Protecting Spatiotemporal Event Privacy in Continuous Location-Based Services.,"Yang Cao 0011,Yonghui Xiao,Li Xiong 0001,Liquan Bai,Masatoshi Yoshikawa",https://doi.org/10.1109/TKDE.2019.2963312,TKDE,2021,"Privacy,Spatiotemporal phenomena,Measurement,Trajectory,Transmission line matrix methods,Markov processes,Hospitals","Location privacy-preserving mechanisms (LPPMs) have been extensively studied for protecting users’ location privacy by releasing a perturbed location to third parties such as location-based service providers. However, when a user’s perturbed locations are released continuously, existing LPPMs may not protect the sensitive information about the user’s real-world activities, such as “visited hospital in the last week” or “regularly commuting between location A and location B every weekday” (it is easy to infer that location A and location B may be home and office), which we call it 
<i>spatiotemporal event</i>
. In this paper, we first formally define spatiotemporal event as Boolean expressions between location and time predicates, and then we define 
<inline-formula><tex-math notation=""LaTeX"">$ \epsilon$</tex-math></inline-formula>
-
<i>spatiotemporal event privacy</i>
 by extending the notion of differential privacy. Second, to understand how much spatiotemporal event privacy that existing LPPMs can provide, we design computationally efficient algorithms to quantify the spatiotemporal event privacy leakage of state-of-the-art LPPMs. It turns out that the existing LPPMs may not adequately protect spatiotemporal event privacy. Third, we propose a framework, PriSTE, to transform an existing LPPM into one protecting spatiotemporal event privacy by calibrating the LPPM’s privacy budgets. Our experiments on real-life and synthetic data verified that the proposed method is effective and efficient."
461,,The Power of Bounds - Answering Approximate Earth Mover&apos;s Distance with Parametric Bounds.,"Tsz Nam Chan,Man Lung Yiu,Leong Hou U",https://doi.org/10.1109/TKDE.2019.2931969,TKDE,2021,"Upper bound,Histograms,Earth,Optimization,Approximation algorithms,Databases,Time factors","The Earth Mover's Distance (EMD) is a robust similarity measure between two histograms (e.g., probability distributions). It has been extensively used in a wide range of applications, e.g., multimedia, data mining, computer vision, etc. As EMD is a computationally intensive operation, many efficient lower and upper bound functions of EMD have been developed. However, they provide no guarantee on the error. In this work, we study how to compute approximate EMD value with bounded error. First, we develop a parametric dual bound function for EMD, in order to offer sufficient trade-off points for optimization. After that, we propose an approximation framework that leverages on lower and upper bound functions to compute approximate EMD with error guarantee. Then, we present three solutions to solve our problem. Experimental results on real data demonstrate the efficiency and the effectiveness of our proposed solutions."
462,,MSQ-Index - A Succinct Index for Fast Graph Similarity Search.,"Xiaoyang Chen,Hongwei Huo,Jun Huan,Jeffrey Scott Vitter,Weiguo Zheng,Lei Zou 0001",https://doi.org/10.1109/TKDE.2019.2954527,TKDE,2021,"Indexing,Encoding,Boosting,Search problems,Data structures","Graph similarity search under the graph edit distance constraint has received considerable attention in many applications, such as bioinformatics, data mining, pattern recognition and social networks. Existing methods for this problem have limited scalability because of the huge amount of memory they consume when handling very large graph databases with tens of millions of graphs. In this article, we present a succinct index that incorporates succinct data structures and hybrid encoding to achieve improved query time performance with minimal space usage. Specifically, the space usage of our index requires only 5–15 percent of the previous state-of-the-art indexing size while at the same time achieving several times acceleration in query time on the tested data. We also improve the query performance by augmenting the global filter with range searching, which allows us to perform similarity search in a reduced region. In addition, we propose two effective lower bounds together with a boosting technique to obtain the smallest possible candidate set. Extensive experiments demonstrate that our proposed approach is superior both in space and filtering to the state-of-the-art approaches. To the best of our knowledge, our index is the first in-memory index for this problem that successfully scales to cope with the large dataset of 25 million chemical structure graphs from the PubChem dataset. The source code is available online."
463,,Incremental Factorization of Big Time Series Data with Blind Factor Approximation.,"Dan Chen 0001,Yunbo Tang,Hao Zhang,Lizhe Wang 0001,Xiaoli Li 0002",https://doi.org/10.1109/TKDE.2019.2931687,TKDE,2021,"Time series analysis,Brain modeling,Graphics processing units,Complex systems,Big Data,Bayes methods","Extracting the latent factors of big time series data is an important means to examine the dynamic complex systems under observation. These low-dimensional and “small” representations reveal the key insights to the overall mechanisms, which can otherwise be obscured by the notoriously high dimensionality and scale of big data as well as the enormously complicated interdependencies amongst data elements. However, grand challenges still remain: (1) to incrementally derive the multi-mode factors of the augmenting big data and (2) to achieve this goal under the circumstance of insufficient a priori knowledge. This study develops an incrementally parallel factorization solution (namely I-PARAFAC) for huge augmenting tensors (multi-way arrays) consisting of three phases over a cutting-edge GPU cluster: in the “giant-step” phase, a variational Bayesian inference (VBI) model estimates the distribution of the close neighborhood of each factor in a high confidence level without the need for a priori knowledge of the tensor or problem domain; in the “baby-step” phase, a massively parallel Fast-HALS algorithm (namely G-HALS) has been developed to derive the accurate subfactors of each subtensor on the basis of the initial factors; in the final fusion phase, I-PARAFAC fuses the known factors of the original tensor and those accurate subfactors of the “increment” to achieve the final full factors. Experimental results indicate that: (1) the VBI model enables a blind factor approximation, where the distribution of the close neighborhood of each final factor can be quickly derived (10 iterations for the test case). As a result, the model of a low time complexity significantly accelerates the derivation of the final accurate factors and lowers the risks of errors; (2) I-PARAFAC significantly outperforms even the latest high performance counterpart when handling augmenting tensors, e.g., the increased overhead is only proportional to the increment while the latter has to repeatedly factorize the whole tensor, and the overhead in fusing subfactors is always minimal; (3) I-PARAFAC can factorize a huge tensor (volume up to 500 TB over 50 nodes) as a whole with the capability several magnitudes higher than conventional methods, and the runtime is in the order of 1/n to the number of compute nodes; (4) I-PARAFAC supports correct factorization-based analysis of a real 4-order EEG dataset captured from a variety of epilepsy patients. Overall, it should also be noted that counterpart methods have to derive the whole tensor from the scratch if the tensor is augmented in any dimension; as a contrast, the I-PARAFAC framework only needs to incrementally compute the full factors of the huge augmented tensor."
464,,A Domain Adaptive Density Clustering Algorithm for Data With Varying Density Distribution.,"Jianguo Chen,Philip S. Yu",https://doi.org/10.1109/TKDE.2019.2954133,TKDE,2021,"Clustering algorithms,Density measurement,Partitioning algorithms,Computational complexity,Shape,Stability analysis,Data mining","As one type of efficient unsupervised learning methods, clustering algorithms have been widely used in data mining and knowledge discovery with noticeable advantages. However, clustering algorithms based on density peak have limited clustering effect on data with varying density distribution (VDD), equilibrium distribution (ED), and multiple domain-density maximums (MDDM), leading to the problems of sparse cluster loss and cluster fragmentation. To address these problems, we propose a Domain-Adaptive Density Clustering (DADC) algorithm, which consists of three steps: domain-adaptive density measurement, cluster center self-identification, and cluster self-ensemble. For data with VDD features, clusters in sparse regions are often neglected by using uniform density peak thresholds, which results in the loss of sparse clusters. We define a domain-adaptive density measurement method based on 
<inline-formula><tex-math notation=""LaTeX"">$K$</tex-math> </inline-formula>
-Nearest Neighbors (KNN) to adaptively detect the density peaks of different density regions. We treat each data point and its KNN neighborhood as a subgroup to better reflect its density distribution in a domain view. In addition, for data with ED or MDDM features, a large number of density peaks with similar values can be identified, which results in cluster fragmentation. We propose a cluster center self-identification and cluster self-ensemble method to automatically extract the initial cluster centers and merge the fragmented clusters. Experimental results demonstrate that compared with other comparative algorithms, the proposed DADC algorithm can obtain more reasonable clustering results on data with VDD, ED and MDDM features. Benefitting from a few parameter requirement and non-iterative nature, DADC achieves low computational complexity and is suitable for large-scale data clustering."
465,,Making Online Sketching Hashing Even Faster.,"Xixian Chen,Haiqin Yang,Shenglin Zhao,Irwin King,Michael R. Lyu",https://doi.org/10.1109/TKDE.2019.2934687,TKDE,2021,"Training,Computational efficiency,Data models,Approximation algorithms,Hash functions,Economics,Principal component analysis","Data-dependent hashing methods have demonstrated good performance in various machine learning applications to learn a low-dimensional representation from the original data. However, they still suffer from several obstacles: First, most of existing hashing methods are trained in a batch mode, yielding inefficiency for training streaming data. Second, the computational cost and the memory consumption increase extraordinarily in the big data setting, which perplexes the training procedure. Third, the lack of labeled data hinders the improvement of the model performance. To address these difficulties, we utilize online sketching hashing (OSH) and present a FasteR Online Sketching Hashing (FROSH) algorithm to sketch the data in a more compact form via an independent transformation. We provide theoretical justification to guarantee that our proposed FROSH consumes less time and achieves a comparable sketching precision under the same memory cost of OSH. We also extend FROSH to its distributed implementation, namely DFROSH, to further reduce the training time cost of FROSH while deriving the theoretical bound of the sketching precision. Finally, we conduct extensive experiments on both synthetic and real datasets to demonstrate the attractive merits of FROSH and DFROSH."
466,,Succinct Representation of Dynamic Networks.,"Kaiqi Chen,Lanlan Yu,Tingting Zhu,Ping Li 0024,Jürgen Kurths",https://doi.org/10.1109/TKDE.2019.2960240,TKDE,2021,"Feature extraction,Principal component analysis,Task analysis,Marine vehicles,Knowledge engineering,Data mining,Encoding","Many network analysis tasks like classification over nodes require careful efforts in engineering features used by learning algorithms. Most of recent studies have been made and succeeded in the field of static network representation learning. However, real-world networks are often dynamic and little work has been done on how to describe dynamic networks. In this work, we pose the problem of condensing dynamic networks and introduce 
<italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">SuRep</i>
, an encoding-decoding framework which utilizes matrix factorization technique to derive a succinct representation of a dynamic network in any stationary phase. We show that the succinct representation method can uncover the invariant structural properties in the network evolution and derive dense feature representations of the nodes as the byproduct. This method can be easily extended to dynamic attribute networks. For experiments on detecting change points in dynamic networks and network classification with real-world datasets we demonstrate 
<italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">SuRep</i>
’s potential for capturing latent patterns among nodes."
